Source.Name,Column1,Column2,Column3,Column4,,,,
G_rate_rest.csv,Seed,arrival rate,-35,-310,,,,
G_rate_rest.csv,400137271,0.0010000000,0.000802624,0.000903495,,,,
G_rate_rest.csv,400137271,0.0110604027,0.009199539,0.010413236,,,,
G_rate_rest.csv,400137271,0.0211208054,0.018238198,0.020756842,,,,
G_rate_rest.csv,400137271,0.0311812081,0.027958361,0.032012275,,,,
G_rate_rest.csv,400137271,0.0412416107,0.038386722,0.044305746,,,,
G_rate_rest.csv,400137271,0.0513020134,0.049613734,0.057789063,,,,
G_rate_rest.csv,400137271,0.0613624161,0.061658645,0.072393888,,,,
G_rate_rest.csv,400137271,0.0714228188,0.074647205,0.088423772,,,,
G_rate_rest.csv,400137271,0.0814832215,0.088593884,0.106045743,,,,
G_rate_rest.csv,400137271,0.0915436242,0.103504406,0.125247076,,,,
G_rate_rest.csv,400137271,0.1016040268,0.119388522,0.146303289,,,,
G_rate_rest.csv,400137271,0.1116644295,0.136477348,0.16950951,,,,
G_rate_rest.csv,400137271,0.1217248322,0.154310949,0.194117419,,,,
G_rate_rest.csv,400137271,0.1317852349,0.17293929,0.220929163,,,,
G_rate_rest.csv,400137271,0.1418456376,0.192776031,0.248043643,,,,
G_rate_rest.csv,400137271,0.1519060403,0.212844228,0.275102064,,,,
G_rate_rest.csv,400137271,0.1619664430,0.232466096,0.298558,,,,
G_rate_rest.csv,400137271,0.1720268456,0.252733215,0.320138246,,,,
G_rate_rest.csv,400137271,0.1820872483,0.270262378,0.335618531,,,,
G_rate_rest.csv,400137271,0.1921476510,0.286136942,0.352290244,,,,
G_rate_rest.csv,400137271,0.2022080537,0.298685026,0.352348472,,,,
G_rate_rest.csv,400137271,0.2122684564,0.306877884,0.348151746,,,,
G_rate_rest.csv,400137271,0.2223288591,0.308901278,0.36196532,,,,
G_rate_rest.csv,400137271,0.2323892617,0.309652527,0.364364068,,,,
G_rate_rest.csv,400137271,0.2424496644,0.317083279,0.338165443,,,,
G_rate_rest.csv,400137271,0.2525100671,0.314505317,0.391840049,,,,
G_rate_rest.csv,400137271,0.2625704698,0.323522042,0.367325161,,,,
G_rate_rest.csv,400137271,0.2726308725,0.336592891,0.379321196,,,,
G_rate_rest.csv,400137271,0.2826912752,0.342153661,0.389033835,,,,
G_rate_rest.csv,400137271,0.2927516779,0.345262343,0.392071404,,,,
G_rate_rest.csv,400137271,0.3028120805,0.323729506,0.386977055,,,,
G_rate_rest.csv,400137271,0.3128724832,0.341230516,0.389606453,,,,
G_rate_rest.csv,400137271,0.3229328859,0.337169722,0.405636491,,,,
G_rate_rest.csv,400137271,0.3329932886,0.351405158,0.415710974,,,,
G_rate_rest.csv,400137271,0.3430536913,0.357541613,0.39267483,,,,
G_rate_rest.csv,400137271,0.3531140940,0.356692005,0.42343824,,,,
G_rate_rest.csv,400137271,0.3631744966,0.341250718,0.417537869,,,,
G_rate_rest.csv,400137271,0.3732348993,0.343248946,0.403983254,,,,
G_rate_rest.csv,400137271,0.3832953020,0.349296556,0.390917816,,,,
G_rate_rest.csv,400137271,0.3933557047,0.337282106,0.423426679,,,,
G_rate_rest.csv,400137271,0.4034161074,0.344701041,0.45701904,,,,
G_rate_rest.csv,400137271,0.4134765101,0.407798527,0.421855083,,,,
G_rate_rest.csv,400137271,0.4235369128,0.329789071,0.433057869,,,,
G_rate_rest.csv,400137271,0.4335973154,0.365198283,0.432082818,,,,
G_rate_rest.csv,400137271,0.4436577181,0.362578469,0.433372106,,,,
G_rate_rest.csv,400137271,0.4537181208,0.377193958,0.397859139,,,,
G_rate_rest.csv,400137271,0.4637785235,0.378138338,0.471848192,,,,
G_rate_rest.csv,400137271,0.4738389262,0.33868165,0.447193418,,,,
G_rate_rest.csv,400137271,0.4838993289,0.383865414,0.408670787,,,,
G_rate_rest.csv,400137271,0.4939597315,0.392973842,0.420833075,,,,
G_rate_rest.csv,400137271,0.5040201342,0.386573486,0.438839615,,,,
G_rate_rest.csv,400137271,0.5140805369,0.321571596,0.427527689,,,,
G_rate_rest.csv,400137271,0.5241409396,0.439571807,0.4595685,,,,
G_rate_rest.csv,400137271,0.5342013423,0.378047924,0.453915945,,,,
G_rate_rest.csv,400137271,0.5442617450,0.409050806,0.453874525,,,,
G_rate_rest.csv,400137271,0.5543221477,0.407741916,0.435547031,,,,
G_rate_rest.csv,400137271,0.5643825503,0.458615932,0.429746097,,,,
G_rate_rest.csv,400137271,0.5744429530,0.360196646,0.474378987,,,,
G_rate_rest.csv,400137271,0.5845033557,0.409171293,0.4484363,,,,
G_rate_rest.csv,400137271,0.5945637584,0.365351615,0.476890925,,,,
G_rate_rest.csv,400137271,0.6046241611,0.376077888,0.461252605,,,,
G_rate_rest.csv,400137271,0.6146845638,0.391007092,0.470817867,,,,
G_rate_rest.csv,400137271,0.6247449664,0.445966421,0.423568956,,,,
G_rate_rest.csv,400137271,0.6348053691,0.381291688,0.464539822,,,,
G_rate_rest.csv,400137271,0.6448657718,0.309788591,0.403758425,,,,
G_rate_rest.csv,400137271,0.6549261745,0.296743383,0.506187451,,,,
G_rate_rest.csv,400137271,0.6649865772,0.352562837,0.506771494,,,,
G_rate_rest.csv,400137271,0.6750469799,0.43350413,0.498496495,,,,
G_rate_rest.csv,400137271,0.6851073826,0.385240243,0.461880158,,,,
G_rate_rest.csv,400137271,0.6951677852,0.357623939,0.372393156,,,,
G_rate_rest.csv,400137271,0.7052281879,0.413219469,0.379790879,,,,
G_rate_rest.csv,400137271,0.7152885906,0.421896244,0.445401067,,,,
G_rate_rest.csv,400137271,0.7253489933,0.352595038,0.481218039,,,,
G_rate_rest.csv,400137271,0.7354093960,0.305932567,0.450874359,,,,
G_rate_rest.csv,400137271,0.7454697987,0.460698836,0.424699188,,,,
G_rate_rest.csv,400137271,0.7555302013,0.333578349,0.492463685,,,,
G_rate_rest.csv,400137271,0.7655906040,0.451791508,0.449983741,,,,
G_rate_rest.csv,400137271,0.7756510067,0.40236701,0.44766816,,,,
G_rate_rest.csv,400137271,0.7857114094,0.349945898,0.471088517,,,,
G_rate_rest.csv,400137271,0.7957718121,0.354838361,0.477313774,,,,
G_rate_rest.csv,400137271,0.8058322148,0.344558379,0.423498244,,,,
G_rate_rest.csv,400137271,0.8158926174,0.445703119,0.485321447,,,,
G_rate_rest.csv,400137271,0.8259530201,0.376435365,0.438960437,,,,
G_rate_rest.csv,400137271,0.8360134228,0.320086234,0.54972152,,,,
G_rate_rest.csv,400137271,0.8460738255,0.370006322,0.501287555,,,,
G_rate_rest.csv,400137271,0.8561342282,0.336048979,0.485856469,,,,
G_rate_rest.csv,400137271,0.8661946309,0.385925617,0.469126876,,,,
G_rate_rest.csv,400137271,0.8762550336,0.409511144,0.448472935,,,,
G_rate_rest.csv,400137271,0.8863154362,0.403469194,0.457781602,,,,
G_rate_rest.csv,400137271,0.8963758389,0.371652581,0.534055455,,,,
G_rate_rest.csv,400137271,0.9064362416,0.386135056,0.413688707,,,,
G_rate_rest.csv,400137271,0.9164966443,0.359157223,0.478803444,,,,
G_rate_rest.csv,400137271,0.9265570470,0.359358591,0.480230469,,,,
